Date,Category,Amount,Description,Type
2024-03-17,Investments,2710.88,Investment returns,Income
2024-03-18,Salary,2897.71,Monthly salary,Income
2024-03-19,Rental Income,4999.3,Investment returns,Income
2024-03-20,Entertainment,1553.93,Doctor's visit,Expense
2024-03-21,Groceries,1692.47,Weekly groceries,Expense
2024-03-22,Transportation,849.0,Miscellaneous expense,Expense
2024-03-23,Investments,2573.19,Rental property income,Income
2024-03-24,Utilities,1474.77,Doctor's visit,Expense
2024-03-25,Entertainment,1013.77,Weekly groceries,Expense
2024-03-26,Rental Income,1854.4,Monthly salary,Income
2024-03-27,Investments,3245.71,Monthly salary,Income
2024-03-28,Salary,3532.26,Monthly salary,Income
2024-03-29,Entertainment,1704.73,Miscellaneous expense,Expense
2024-03-30,Freelancing,1718.37,Investment returns,Income
2024-03-31,Education,1375.24,Movie tickets,Expense
2024-04-01,Freelancing,2317.87,Rental property income,Income
2024-04-02,Investments,1352.89,Rental property income,Income
2024-04-03,Salary,4441.49,Monthly salary,Income
2024-04-04,Rental Income,500.91,Freelance payment,Income
2024-04-05,Freelancing,3362.18,Monthly salary,Income
2024-04-06,Freelancing,1337.48,Freelance payment,Income
2024-04-07,Rent,182.65,Electricity bill,Expense
2024-04-08,Rent,76.0,Movie tickets,Expense
2024-04-09,Salary,1441.95,Investment returns,Income
2024-04-10,Rental Income,2697.29,Rental property income,Income
2024-04-11,Transportation,1742.1,Monthly rent,Expense
2024-04-12,Salary,1400.0,Rental property income,Income
2024-04-13,Healthcare,1615.97,Bus fare,Expense
2024-04-14,Rent,444.72,Miscellaneous expense,Expense
2024-04-15,Miscellaneous,1296.27,Electricity bill,Expense
2024-04-16,Entertainment,794.72,Monthly rent,Expense
2024-04-17,Insurance,1452.93,Online course,Expense
2024-04-18,Freelancing,910.05,Rental property income,Income
2024-04-19,Healthcare,1054.03,Movie tickets,Expense
2024-04-20,Healthcare,75.72,Bus fare,Expense
2024-04-21,Miscellaneous,1413.3,Movie tickets,Expense
2024-04-22,Rental Income,3621.32,Monthly salary,Income
2024-04-23,Freelancing,4409.83,Monthly salary,Income
2024-04-24,Entertainment,1930.18,Monthly rent,Expense
2024-04-25,Miscellaneous,633.99,Car insurance,Expense
2024-04-26,Entertainment,1908.15,Dinner out,Expense
2024-04-27,Salary,1080.78,Monthly salary,Income
2024-04-28,Salary,3674.26,Rental property income,Income
2024-04-29,Insurance,662.14,Miscellaneous expense,Expense
